PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Cam Thomas,BKN,39,3.3,15.4,0.95,3.1,1,2.7,37.1,41,15,5.5,14.2,3.1,42.5,52
Jalen Brunson,NYK,47,2.7,11,0.94,2.6,1,2.3,41.7,44.4,14.8,6.3,14.8,5.5,44.5,50.3
Brandon Ingram,NOP,44,2.6,12.5,0.97,2.5,1,2.1,49.5,50,12.2,12.2,10.4,3.5,47.8,57
Kyrie Irving,DAL,27,4.2,18.3,0.98,4.1,1.4,3.5,41.1,44.7,13.3,5.3,11.5,2.7,45.1,59.2
LeBron James,LAL,44,3,13,0.83,2.5,1,2.6,38.1,41.6,11.3,8.3,11.3,4.5,38.3,34.1
Spencer Dinwiddie,BKN,46,2.3,17.1,1,2.3,0.7,1.7,40.5,47.5,17.3,8.7,17.3,1.9,46.2,65.1
Jimmy Butler,MIA,35,2.6,13.9,1.08,2.8,0.7,1.7,42.6,44.3,30,6.7,30,4.4,53.3,77.1
Anfernee Simons,POR,28,3.6,16.1,0.94,3.4,1.2,3,41,47,10.9,8.9,10.9,2,42.6,51.4
Bam Adebayo,MIA,40,2.5,12.2,0.92,2.3,0.9,2,43.8,43.8,16.8,6.9,16.8,3,47.5,46.9
Alperen Sengun,HOU,49,2.2,10.5,0.87,1.9,0.7,1.6,45,45,15,13.1,12.1,2.8,44.9,39.1
Tyrese Maxey,PHI,44,2.5,10.8,0.83,2.1,0.8,2.3,33.3,37.7,13.4,2.7,13.4,7.1,35.7,34.6
Stephen Curry,GSW,43,1.9,7.6,1.12,2.1,0.8,1.7,48.6,59,6.1,9.8,6.1,3.7,45.1,84.4
Collin Sexton,UTA,51,1.8,10.9,0.99,1.7,0.5,1.3,39.4,43.2,21.1,8.9,18.9,3.3,46.7,60.3
Donovan Mitchell,CLE,38,2.3,8.8,0.99,2.3,0.8,2.1,39.5,46.3,9,2.2,9,2.2,42.7,59.8
Jaylen Brown,BOS,45,2.2,10.3,0.88,2,0.7,1.7,42.1,48,13,13,12,2,42,41.3
Jalen Green,HOU,49,1.8,9.4,0.98,1.8,0.6,1.4,43.5,48.6,13.6,12.5,11.4,4.5,43.2,58.1
Tyrese Haliburton,IND,37,2,10,1.15,2.3,0.8,1.7,46,53.2,18.9,6.8,18.9,10.8,47.3,87.7
Jerami Grant,POR,43,2.7,13.4,0.72,2,0.8,2.2,34.4,34.4,10.3,8.6,7.8,1.7,37.1,18.4
Russell Westbrook,LAC,48,1.9,14.8,0.89,1.7,0.7,1.5,47.3,49.3,7.6,16.3,7.6,4.3,41.3,44.1
Nikola Jokic,DEN,49,1.5,6.4,1.11,1.6,0.7,1.3,52.4,53.2,13.9,2.8,13.9,4.2,54.2,82.1
Miles Bridges,CHA,37,2.6,12.5,0.83,2.1,0.8,2.1,38.5,41,12.6,12.6,12.6,7.4,36.8,35.2
Kyle Kuzma,WAS,48,2.3,10,0.73,1.6,0.6,2,29.9,34.5,7.4,3.7,7.4,0.9,33.3,19.6
Tobias Harris,PHI,44,1.8,10.9,0.96,1.7,0.7,1.5,44.6,46.2,11.5,9,11.5,3.8,44.9,54.2
Mikal Bridges,BKN,48,1.8,8.5,0.81,1.5,0.6,1.5,38.6,41.4,8.1,11.6,7,1.2,38.4,31.8
Terry Rozier,CHA,30,2.2,9.8,1.03,2.2,0.8,1.9,43.9,47.4,10.8,3.1,9.2,1.5,47.7,69.3
Franz Wagner,ORL,42,1.6,8,1,1.6,0.6,1.3,46.3,50,11.9,9,11.9,1.5,47.8,65.1
Caris LeVert,CLE,37,1.9,12.1,0.93,1.8,0.6,1.5,38.2,42.7,19.4,5.6,19.4,1.4,45.8,49.2
