PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Dennis Schroder,TOR,48,0.6,5,0.32,0.2,0.1,0.5,17.4,19.6,0,17.9,0,0,14.3,98.3
De'Andre Hunter,ATL,26,0.6,5.9,0.6,0.3,0.1,0.5,23.1,26.9,6.7,6.7,0,0,26.7,89.7
CJ McCollum,NOP,34,0.5,4.7,0.59,0.3,0.1,0.5,18.8,25,5.9,0,5.9,0,23.5,90.1
Christian Wood,LAL,41,0.3,4.1,0.71,0.2,0.1,0.3,25,37.5,7.1,7.1,0,0,28.6,83.3
Isaiah Livers,DET,22,0.6,7.9,0.77,0.5,0.2,0.5,40,50,0,23.1,0,0,30.8,82
Jalen Johnson,ATL,35,0.3,2.9,0.83,0.3,0.1,0.3,33.3,41.7,0,0,0,0,33.3,72.2
Caleb Martin,MIA,32,0.3,3.1,0.91,0.3,0.1,0.3,36.4,45.5,0,0,0,0,36.4,63.5
Bobby Portis,MIL,48,0.2,2.5,1,0.2,0.1,0.2,55.6,55.6,0,10,0,0,50,54
Paul George,LAC,45,0.6,4.6,0.44,0.2,0.1,0.4,17.6,20.6,8,24,8,0,20,97
Desmond Bane,MEM,37,0.5,5.6,0.58,0.3,0.1,0.4,31.3,34.4,0,15.8,0,0,26.3,91.4
Aaron Wiggins,OKC,44,0.4,7.3,0.65,0.3,0.1,0.3,26.7,36.7,0,11.8,0,0,23.5,87.1
Bennedict Mathurin,IND,48,0.3,4,0.79,0.2,0.1,0.3,33.3,45.8,0,14.3,0,0,28.6,80.2
Chris Duarte,SAC,29,0.5,6.8,0.79,0.4,0.1,0.4,30.8,34.6,7.1,0,0,0,35.7,80.2
Anthony Black,ORL,41,0.3,3.8,0.85,0.3,0.1,0.3,36.4,50,0,15.4,0,0,30.8,69.5
